Name,Expression,Time
Speaker,Happy,[15560.0]
Speaker,Sad,[15560.0]
Speaker,Sad,[15560.0]
Speaker,Happy,[15600.0]
Speaker,Sad,[15600.0]
Speaker,Sad,[15600.0]
Speaker,Happy,[15640.0]
Speaker,Sad,[15640.0]
Speaker,Sad,[15640.0]
Speaker,Happy,[15680.0]
Speaker,Sad,[15680.0]
Speaker,Sad,[15680.0]
Speaker,Neutral,[15720.0]
Speaker,Sad,[15720.0]
Speaker,Sad,[15720.0]
Speaker,Sad,[15760.0]
Speaker,Sad,[15760.0]
Speaker,Neutral,[15760.0]
Speaker,Sad,[15800.0]
Speaker,Neutral,[15800.0]
Speaker,Sad,[15800.0]
Speaker,Sad,[15840.0]
Speaker,Neutral,[15840.0]
Speaker,Sad,[15840.0]
Speaker,Sad,[15880.0]
Speaker,Surprise,[15880.0]
Speaker,Sad,[15880.0]
Speaker,Happy,[15920.0]
Speaker,Sad,[15920.0]
Speaker,Sad,[15920.0]
Speaker,Happy,[15960.0]
Speaker,Sad,[15960.0]
Speaker,Sad,[15960.0]
Speaker,Happy,[16000.0]
Speaker,Sad,[16000.0]
Speaker,Sad,[16000.0]
Speaker,Happy,[16040.0]
Speaker,Sad,[16040.0]
Speaker,Sad,[16040.0]
Speaker,Happy,[16080.000000000002]
Speaker,Sad,[16080.000000000002]
Speaker,Sad,[16080.000000000002]
Speaker,Happy,[16120.000000000002]
Speaker,Sad,[16120.000000000002]
Speaker,Sad,[16120.000000000002]
Speaker,Sad,[16160.0]
Speaker,Happy,[16160.0]
Speaker,Sad,[16160.0]
Speaker,Happy,[16200.0]
Speaker,Sad,[16200.0]
Speaker,Sad,[16200.0]
Speaker,Happy,[16240.000000000002]
Speaker,Sad,[16240.000000000002]
Speaker,Sad,[16240.000000000002]
Speaker,Happy,[16280.000000000002]
Speaker,Sad,[16280.000000000002]
Speaker,Sad,[16280.000000000002]
Speaker,Happy,[16320.0]
Speaker,Sad,[16320.0]
Speaker,Sad,[16320.0]
Speaker,Happy,[16360.0]
Speaker,Sad,[16360.0]
Speaker,Sad,[16360.0]
Speaker,Happy,[16400.0]
Speaker,Sad,[16400.0]
Speaker,Sad,[16400.0]
Speaker,Happy,[16440.0]
Speaker,Sad,[16440.0]
Speaker,Sad,[16440.0]
Speaker,Happy,[16480.0]
Speaker,Sad,[16480.0]
Speaker,Sad,[16480.0]
Speaker,Happy,[16520.0]
Speaker,Sad,[16520.0]
Speaker,Sad,[16520.0]
Speaker,Happy,[16560.0]
Speaker,Sad,[16560.0]
Speaker,Sad,[16560.0]
Speaker,Happy,[16600.0]
Speaker,Sad,[16600.0]
Speaker,Sad,[16600.0]
Speaker,Happy,[16640.0]
Speaker,Sad,[16640.0]
Speaker,Sad,[16640.0]
Speaker,Happy,[16680.0]
Speaker,Sad,[16680.0]
Speaker,Sad,[16680.0]
Speaker,Happy,[16720.0]
Speaker,Sad,[16720.0]
